id,category,tripleset_size,tripleset,lexicalisations,prediction_gpt-3.5-turbo-0613,bleu_nltk_gpt-3.5-turbo-0613,meteor_gpt-3.5-turbo-0613,execution_time_gpt-3.5-turbo-0613
11,Athlete,1,"[{'object': '1987-08-25', 'property': 'birthDate', 'subject': 'Piotr_Hallmann'}]","['Piotr Hallmann was born on August 25, 1987.', ""Piotr Hallmann's birthday is August 25th 1987."", 'Piotr Hallmann was born on the 25th of August 1987.']","Piotr Hallmann was born on August 25, 1987.",1.0,0.9990234375,1.2245666980743408
12,Scientist,1,"[{'object': '01325', 'property': 'areaCode', 'subject': 'Darlington'}]","['The Darlington town has an area code of 01325.', 'The telephone area code for Darlington is 01325.', 'The area code in Darlington is 01325.']",Darlington has an area code of 01325.,0.8408964152537146,0.7861781076066792,1.242847204208374
13,Monument,6,"[{'object': 'Franklin_County,_Pennsylvania', 'property': 'hasToItsWest', 'subject': 'Adams_County,_Pennsylvania'}, {'object': '2000', 'property': 'established', 'subject': '11th_Mississippi_Infantry_Monument'}, {'object': 'Adams_County,_Pennsylvania', 'property': 'location', 'subject': '11th_Mississippi_Infantry_Monument'}, {'object': 'Gettysburg,_Pennsylvania', 'property': 'municipality', 'subject': '11th_Mississippi_Infantry_Monument'}, {'object': 'Contributing_property', 'property': 'category', 'subject': '11th_Mississippi_Infantry_Monument'}, {'object': 'Cumberland_County,_Pennsylvania', 'property': 'hasToItsNorth', 'subject': 'Adams_County,_Pennsylvania'}]","[""Pennsylvania's Franklin County is found to the west of Adams County, Pennsylvania and Pennsylvania's Cumberland County is to the north. A monument to the 11th Mississippi Infantry was erected in Adams County in the year 2000 in the municipality of Gettysburg and this monument is categorised as a contributing property."", 'The 11th Mississippi Infantry Monument, a Contributing property established in the year 2000 in Adams County, Pennsylvania falls in the municipality of Gettysburg, Pennsylvania. Adams County Pennsylvania is East of Franklin County, Pennsylvania and has Cumberland County, Pennsylvania to its north.']","The 11th Mississippi Infantry Monument is located in Adams County, Pennsylvania. It is a contributing property in Gettysburg, Pennsylvania. Franklin County, Pennsylvania is to the west of Adams County, while Cumberland County, Pennsylvania is to the north. The monument was established in the year 2000.",0.36254273941950504,0.5817498658078369,2.7577741146087646
14,Artist,1,"[{'object': 'Modern_Hebrew', 'property': 'officialLanguage', 'subject': 'Israel'}]","['The official language of Israel is modern Hebrew.', 'Israel’s official language is Modern Hebrew.', 'Modern Hebrew is the official language of Israel.']",Israel has Modern Hebrew as its official language.,0.13134549472120793,0.3194444444444444,1.1121485233306885
15,Airport,3,"[{'object': 'ENAIRE', 'property': 'operatingOrganisation', 'subject': 'Adolfo_Suárez_Madrid–Barajas_Airport'}, {'object': 'Alcobendas', 'property': 'location', 'subject': 'Adolfo_Suárez_Madrid–Barajas_Airport'}, {'object': '610.0', 'property': 'elevationAboveTheSeaLevel', 'subject': 'Adolfo_Suárez_Madrid–Barajas_Airport'}]",['ENAIRE is the operating organisation for Adolfo Suarez Madrid-Barajas airport. This airport is situated 610 meters above sea level in Alcobendas.'],Adolfo Suárez Madrid–Barajas Airport is operated by ENAIRE. It is located in Alcobendas and has an elevation of 610.0 meters above sea level.,0.07575731225158959,0.32465641742371304,1.6494126319885254
16,Company,2,"[{'object': '2000-01-01', 'property': 'foundingDate', 'subject': 'GMA_New_Media'}, {'object': 'Mobile_Applications', 'property': 'product', 'subject': 'GMA_New_Media'}]","['GMA New Media, a company founded on 01-01-2000 are manufacturers of mobile applications.', 'GMA New Media, which was founded on January 1, 2000, is a company that offers products such as mobile applications.', 'GMA New Media makes mobile apps and was founded on 01/01/2000.']","GMA New Media was founded on January 1, 2000. They have a product called Mobile Applications.",0.31535540524901323,0.6521739130434784,1.4342389106750488
17,Company,4,"[{'object': 'São_Paulo', 'property': 'location', 'subject': 'Hypermarcas'}, {'object': '8514837.14  (square kilometres)', 'property': 'areaTotal', 'subject': 'Brazil'}, {'object': 'Brazil', 'property': 'location', 'subject': 'Hypermarcas'}, {'object': 'Pharmaceuticals', 'property': 'industry', 'subject': 'Hypermarcas'}]","['Hypermarcas is a pharmaceutical company located in Sao Paulo, Brazil. Brazil is 8514837.14 square kilometers in size.', 'Hypermarcas, a pharmaceutical company, is located in Sao Paulo within the 8514837.14 square kilometres that make up the country of Brazil.', 'Hypermarcas, a company in the pharmaceuticals industry, is located in Sao Paulo, Brazil, a country with a total area of 8514837.14 square kilometres.']",Hypermarcas is located in São Paulo. Brazil has a total area of 8514837.14 square kilometres. Hypermarcas is also located in Brazil. Hypermarcas is in the pharmaceuticals industry.,0.3339087646492816,0.5282455874171851,1.4415576457977295
18,MusicalWork,3,"[{'object': 'Rock_music', 'property': 'genre', 'subject': 'Bootleg_Series_Volume_1:_The_Quine_Tapes'}, {'object': 'Squeeze_(The_Velvet_Underground_album)', 'property': 'precededBy', 'subject': 'Bootleg_Series_Volume_1:_The_Quine_Tapes'}, {'object': ""Andy_Warhol's_Velvet_Underground_Featuring_Nico"", 'property': 'precededBy', 'subject': 'Squeeze_(The_Velvet_Underground_album)'}]","[""The Quine Tapes are Rock music genre preceded by the album Squeeze, and Squeeze was preceded by the album Andy Warhol's Velvet Underground Featuring Nico."", ""Bootleg Series Volume 1: The Quine Tapes's genre is rock, and is preceded by the Velvet Underground album Squeeze, which was preceded by the compilation album Andy Warhol's Velvet Underground Featuring Nico."", ""The album Bootleg Series Volume 1: The Quine Tapes fits into the Rock music genre and was preceded by Squeeze by The Velvet Underground, which in turn was preceded by Andy Warhol's Velvet Underground Featuring Nico.""]","The album ""Bootleg Series Volume 1: The Quine Tapes"" belongs to the genre of rock music. It is preceded by the album ""Squeeze (The Velvet Underground album)"". The album ""Squeeze (The Velvet Underground album)"" is preceded by the album ""Andy Warhol's Velvet Underground Featuring Nico"".",0.28331846791803567,0.5925036606854788,2.645616054534912
19,University,4,"[{'object': '""In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090.""', 'property': 'campus', 'subject': 'Acharya_Institute_of_Technology'}, {'object': '""Dr. G. P. Prabhukumar""', 'property': 'director', 'subject': 'Acharya_Institute_of_Technology'}, {'object': 'Visvesvaraya_Technological_University', 'property': 'affiliation', 'subject': 'Acharya_Institute_of_Technology'}, {'object': '""India""', 'property': 'country', 'subject': 'Acharya_Institute_of_Technology'}]","['Dr. G. P. Prabhukumar is the director of the Acharya Institute of Technology which is located at Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore - 560090 in India and is affiliated with Visvesvaraya Technological University.', 'The Acharya Institute of Technology campus is located in Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090, India. Its director is Dr.G.P. Prabhukumar and it is affiliated to Visvesvaraya Technological University.', 'The campus of the Acharya Institute of Technology is located at Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090, India and it is affiliated with the Visvesvaraya Technological University. Its director is Dr.G.P.Prabhukumar.']","Acharya Institute of Technology is located in Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090. The director of the institute is Dr. G. P. Prabhukumar. It is affiliated with Visvesvaraya Technological University. The institute is located in India.",0.587895703343693,0.7272148148148149,2.6759421825408936
20,Politician,3,"[{'object': 'United_States', 'property': 'deathPlace', 'subject': 'Abraham_A._Ribicoff'}, {'object': 'United_States', 'property': 'birthPlace', 'subject': 'Abraham_A._Ribicoff'}, {'object': 'African_Americans', 'property': 'ethnicGroup', 'subject': 'United_States'}]","['Abraham A. Ribicoff was born and died in the United States where African Americans are an ethnic group.', 'Abraham A.Ribicoff died in the United States. It was also his birthplace. African Americans are an ethnic group in the U.S.A.', 'Abraham A Ribicoff was born and died in the United States where African Americans are an ethnic group.']",Abraham A. Ribicoff was born in the United States and died in the United States. The United States is home to African Americans.,0.4393709544636924,0.6366366366366367,1.3192903995513916
21,MusicalWork,7,"[{'object': 'The_Velvet_Underground', 'property': 'artist', 'subject': 'Bootleg_Series_Volume_1:_The_Quine_Tapes'}, {'object': 'The_Velvet_Underground', 'property': 'producer', 'subject': 'Bootleg_Series_Volume_1:_The_Quine_Tapes'}, {'object': '230.05', 'property': 'runtime', 'subject': 'Bootleg_Series_Volume_1:_The_Quine_Tapes'}, {'object': 'United_States', 'property': 'recordedIn', 'subject': 'Bootleg_Series_Volume_1:_The_Quine_Tapes'}, {'object': 'St._Louis,_Missouri', 'property': 'recordedIn', 'subject': 'Bootleg_Series_Volume_1:_The_Quine_Tapes'}, {'object': 'Rock_music', 'property': 'genre', 'subject': 'Bootleg_Series_Volume_1:_The_Quine_Tapes'}, {'object': 'Polydor_Records', 'property': 'recordLabel', 'subject': 'Bootleg_Series_Volume_1:_The_Quine_Tapes'}]","['Music group the Velvet Underground produced and released rock music album Bootleg Series Volume 1: The Quine Tapes under the Polydor Records record label. The album was recorded in St. Louis, Missouri, USA and has a run time of 230:05.', 'Bootleg Series Volume 1: The Quine Tapes created and produced by The Velvet Underground with runtime of 230.05 minutes was recorded in was St. Louis Missouri, United States. The Rock genre album was recorded through Polydor Records.', 'The Bootleg Series Volume I: The Quine Tapes created and produced by The Velvet Underground with runtime of 230.05 minutes was recorded in St. Louis, Missouri, United States. The Rock music genre album was released by the record label Polydor Records.']","""The Velvet Underground"" is the artist and producer of ""Bootleg Series Volume 1: The Quine Tapes"". The runtime of the series is 230.05 minutes. It was recorded in the United States, specifically in St. Louis, Missouri. The genre of the series is rock music. The record label for the series is Polydor Records.",0.14337857637774112,0.4537949746207129,2.5600688457489014
22,WrittenWork,2,"[{'object': 'George_Allen_&_Unwin', 'property': 'publisher', 'subject': 'The_Fellowship_of_the_Ring'}, {'object': 'Fantasy_(genre)', 'property': 'literaryGenre', 'subject': 'The_Fellowship_of_the_Ring'}]","['The fellowship of the Ring belongs to the fantasy genre.George Allen & Unwin published it.', 'The Fellowship of the Ring was published in the Fantasy genre by George Allen & Unwin.', 'The Fellowship of the Ring, from the fantasy genre, was published by George Allen & Unwin.']","""The Fellowship of the Ring"" is published by George Allen & Unwin. It belongs to the literary genre of Fantasy.",0.36684984164094486,0.5843075992743401,1.4378283023834229
23,Astronaut,3,"[{'object': 'California', 'property': 'deathPlace', 'subject': 'Alan_Shepard'}, {'object': 'New_Hampshire', 'property': 'birthPlace', 'subject': 'Alan_Shepard'}, {'object': 'Distinguished_Service_Medal_(United_States_Navy)', 'property': 'award', 'subject': 'Alan_Shepard'}]","['Distinguished Service Medal (US Navy) recipient Alan Shepard was born in New Hampshire but died in California.', 'Awarded the Distinguished Service Medal by The United States Navy, Alan Shepard, was born in New Hampshire, and died in California.', 'Alan Shepard, born in New Hampshire while having died in California, was awarded the Distinguished Service Medal by the United States Navy.']",Alan Shepard was born in New Hampshire and died in California. He was awarded the Distinguished Service Medal (United States Navy).,0.617939643800199,0.7258722709651091,1.5253005027770996
24,MusicalWork,3,"[{'object': 'Imagine_(John_Lennon_song)', 'property': 'followedBy', 'subject': 'Mermaid_(Train_song)'}, {'object': 'Espionage_(production_team)', 'property': 'producer', 'subject': 'Mermaid_(Train_song)'}, {'object': 'California_37_(Train_album)', 'property': 'album', 'subject': 'Mermaid_(Train_song)'}]","['Imagine is a song that Train followed Mermaid with, which was a song produced by the production team Espionage, and was on their album California 37.', 'Train followed its song Mermaid, from its California 37 album, which was was produced by the production team Espionage, with a song titled Imagine.', ""From the production team Espionage, Train's song Mermaid (on the California 37 album) was followed by Train's performance of Imagine by John Lennon."", 'The Train song Mermaid, which belongs to the California 37 Train album and was produced by Espionage, is followed by the John Lennon song Imagine.', ""Train's song Imagine came after a song from their California 37 album, titled Mermaid, which was produced by the production team Espionage.""]","""Mermaid"" by Train is followed by ""Imagine"" by John Lennon. It is produced by Espionage and is featured on the album ""California 37"" by Train.",0.11856660123276004,0.25420000000000004,1.7360236644744873
25,WrittenWork,5,"[{'object': 'George_Allen_&_Unwin', 'property': 'publisher', 'subject': 'The_Fellowship_of_the_Ring'}, {'object': 'Fantasy_(genre)', 'property': 'literaryGenre', 'subject': 'The_Fellowship_of_the_Ring'}, {'object': 'The_Two_Towers', 'property': 'followedBy', 'subject': 'The_Fellowship_of_the_Ring'}, {'object': 'J._R._R._Tolkien', 'property': 'author', 'subject': 'The_Fellowship_of_the_Ring'}, {'object': '1954-07-29', 'property': 'releaseDate', 'subject': 'The_Fellowship_of_the_Ring'}]","['The Fellowship of the Ring was written by J.R.R. Tolkien and was released on July 29, 1954. The Fellowship of the Ring is considered fantasy and was published by George Allen & Unwin. The sequel to The Fellowship of the Ring was The Two Towers.', 'J.R.R. Tolkien is the author of The Fellowship of the Ring released on July 29, 1954. It is a fantasy book published by George Allen & Unwin. The novel was followed by The Two Towers.', 'The Fellowship of the Ring belongs to the fantasy genre. Its author is J.R.R. Tolkien. It was published on July 29, 1954 by George Allen & Unwin. It was followed by The Two Towers.']","""The Fellowship of the Ring"" is a book published by George Allen & Unwin. It belongs to the literary genre of fantasy. It is followed by another book called ""The Two Towers"". The author of ""The Fellowship of the Ring"" is J.R.R. Tolkien. The book was released on July 29, 1954.",0.35640071515920274,0.7494896595645474,2.8472378253936768
26,Company,2,"[{'object': 'Philippines', 'property': 'location', 'subject': 'GMA_New_Media'}, {'object': 'Entertainment', 'property': 'industry', 'subject': 'GMA_New_Media'}]","['GMA New Media lies in the Philippines where applications are offered in the entertainment industry.', 'Located in the Philippines, GMA New Media is an entertainment industry.', 'GMA New Media is an entertainment company located in the Philippines.']",GMA New Media is located in the Philippines and operates in the entertainment industry.,0.44871324195334533,0.7614989620889328,0.9450936317443848
27,Film,3,"[{'object': 'Bernard_Knowles', 'property': 'cinematography', 'subject': 'English_Without_Tears'}, {'object': 'Terence_Rattigan', 'property': 'writer', 'subject': 'English_Without_Tears'}, {'object': '89.0', 'property': 'runtime', 'subject': 'English_Without_Tears'}]","['English Without Tears, written by Terence Rattigan, runs 89 minutes. The cinematography for the film was done by Bernard Knowles.', 'English Without Tears, an 89 minute film written by Terence Rattigan, features the cinematography of Bernard Knowles.', 'Terence Rattigan is the writer of the 89 minute movie ´English Without Tears´ and Bernard Knowles is the cinematographer.']","""English Without Tears"" is a film that features Bernard Knowles as the cinematographer. Terence Rattigan is the writer of the film. The film has a runtime of 89.0 minutes.",0.26282637229067246,0.5020710059171597,1.5392262935638428
28,Scientist,3,"[{'object': 'George_Monson', 'property': 'spouse', 'subject': 'Lady_Anne_Monson'}, {'object': '1776-02-18', 'property': 'deathDate', 'subject': 'Lady_Anne_Monson'}, {'object': 'Botany', 'property': 'professionalField', 'subject': 'Lady_Anne_Monson'}]","['George Monson was married to Lady Anne Monson, a botanist, who died on February 18, 1776.', 'Lady Anne Monson, a professional botanist who was married to George Monson, died on February 18th, 1776.', 'Lady Anne Monson is the spouse of George Monson. Her professional field of study was botany, and she died on 18 February 1776.']","Lady Anne Monson was the spouse of George Monson. She died on February 18, 1776. Her professional field was botany.",0.4966029638761781,0.6933371949453531,1.6274261474609375
29,Politician,2,"[{'object': '""Demak Jaya, Jalan Bako, Kuching, Sarawak""', 'property': 'residence', 'subject': 'Abdul_Taib_Mahmud'}, {'object': 'Parti_Pesaka_Bumiputera_Bersatu', 'property': 'party', 'subject': 'Abdul_Taib_Mahmud'}]","['Abdul Taib Mahmud, member of the Parti Pesaka Bumiputera Bersatu party, resides in Demak Jaya, Jalan Bako, Kuching, Sarawak.', 'Abdul Taib Mahmud, a member of the Parti Pesaka Bumiputera Bersatu party, resides in Demak Jaya, Jalan Bako, Kuching, Sarawak.']","Abdul Taib Mahmud resides in Demak Jaya, Jalan Bako, Kuching, Sarawak. He is a member of Parti Pesaka Bumiputera Bersatu.",0.5069487414732323,0.7937500000000002,2.048123836517334
30,Artist,5,"[{'object': 'Karlsruhe', 'property': 'birthPlace', 'subject': 'Liselotte_Grschebina'}, {'object': 'Israel', 'property': 'nationality', 'subject': 'Liselotte_Grschebina'}, {'object': 'School_of_Applied_Arts_in_Stuttgart', 'property': 'training', 'subject': 'Liselotte_Grschebina'}, {'object': 'Germany', 'property': 'country', 'subject': 'Karlsruhe'}, {'object': 'Modern_Hebrew', 'property': 'language', 'subject': 'Israel'}]","[""Liselotte Grschebina was an Israeli who attended the school of Applied Arts in Stuttgart. She was born in Karlsruhe, Germany. Israel's national language is Modern Hebrew."", 'Liselotte Grschebina is an Israeli national who did her studies at the School of Applied Arts in Stuttgart and was born in Karlsruhe, which is in Germany unlike Israel whose language is Modern Hebrew.', 'Liselotte Grschebina was born in Karlsruhe which is located in Germany, has Israeli nationality (the language in Israel is Modern Hebrew), and studied at the School of Applied Arts in Stuttgart.']",Liselotte Grschebina was born in Karlsruhe. She is of Israeli nationality. She received training at the School of Applied Arts in Stuttgart. Karlsruhe is located in Germany. The official language of Israel is Modern Hebrew.,0.4083574040084074,0.617347516708029,2.255548477172852
31,Company,1,"[{'object': 'Philippines', 'property': 'location', 'subject': 'Chinabank'}]","[""Chinabank's location is the Philippines."", 'Chinabank is located in the Philippines.']",Chinabank is located in the Philippines.,1.0,0.9976851851851852,1.233621597290039
32,MusicalWork,6,"[{'object': 'Columbia_Records', 'property': 'recordLabel', 'subject': 'Mermaid_(Train_song)'}, {'object': '3.16', 'property': 'runtime', 'subject': 'Mermaid_(Train_song)'}, {'object': 'Sony_Music_Entertainment', 'property': 'recordLabel', 'subject': 'Mermaid_(Train_song)'}, {'object': 'Espen_Lind', 'property': 'writer', 'subject': 'Mermaid_(Train_song)'}, {'object': 'Reggae', 'property': 'genre', 'subject': 'Mermaid_(Train_song)'}, {'object': 'Amund_Bjørklund', 'property': 'writer', 'subject': 'Mermaid_(Train_song)'}]","['The Train song Mermaid, which is an example of the reggae genre, was released under the record labels of Columbia Records and Sony Music Entertainment. It was written by Espen Lind and Amund Bjørklund and has a total runtime of 3 minutes and 16 seconds.', 'Amund Bjorklund and Espen Lind are writers of the 3.16 minute reggae song Mermaid by Train that was released under Sony Music Entertainment and Columbia Records.', 'The song Mermaid was written In the reggae music genre by Espen Lind and Amund Bjorklund The song was performed by Train and released by Columbia Records and Sony Music Entertainment records. It has a total runtime of three minutes and sixteen seconds.']","""Mermaid (Train song)"" is a song with a runtime of 3.16 minutes. It is released under the record labels Columbia Records and Sony Music Entertainment. The song is written by Espen Lind and Amund Bjørklund. It falls under the genre of Reggae.",0.3428628114503539,0.48515415061620537,2.1643497943878174
33,Film,3,"[{'object': 'Louis_Levy', 'property': 'musicComposer', 'subject': ""It's_Great_to_Be_Young_(1956_film)""}, {'object': 'Cecil_Parker', 'property': 'starring', 'subject': ""It's_Great_to_Be_Young_(1956_film)""}, {'object': 'Ted_Willis', 'property': 'writer', 'subject': ""It's_Great_to_Be_Young_(1956_film)""}]","[""It's Great to be Young,a 1956 film starring Cecil Parker was composed by Louis Levy and written by Ted Willis."", ""“It's Great to Be Young” (1956) was written by Ted Willis and features music by Louis Levy. A main role in the movie was given to Cecil Parker."", ""Louis Levy is the composer of the 1956 film It's Great to Be Young, which is written by Ted Willis and stars Cecil Parker.""]","""It's Great to Be Young (1956 film)"" is a movie that features Louis Levy as the music composer, Cecil Parker as one of the starring actors, and Ted Willis as the writer.",0.08893868599300617,0.46165240289664256,1.8320395946502688
