category,modifiedtripleset,originaltripleset,lexicalisations,triplesetsize,id,prediction_lora-7b,execution_time_lora-7b
Monument,"[{'object': 'Franklin_County,_Pennsylvania', 'property': 'hasToItsWest', 'subject': 'Adams_County,_Pennsylvania'}, {'object': '2000', 'property': 'established', 'subject': '11th_Mississippi_Infantry_Monument'}, {'object': 'Adams_County,_Pennsylvania', 'property': 'location', 'subject': '11th_Mississippi_Infantry_Monument'}, {'object': 'Gettysburg,_Pennsylvania', 'property': 'municipality', 'subject': '11th_Mississippi_Infantry_Monument'}, {'object': 'Contributing_property', 'property': 'category', 'subject': '11th_Mississippi_Infantry_Monument'}, {'object': 'Cumberland_County,_Pennsylvania', 'property': 'hasToItsNorth', 'subject': 'Adams_County,_Pennsylvania'}]","[[{'object': 'Franklin_County,_Pennsylvania', 'property': 'west', 'subject': 'Adams_County,_Pennsylvania'}, {'object': '2000', 'property': 'established', 'subject': '11th_Mississippi_Infantry_Monument'}, {'object': 'Adams_County,_Pennsylvania', 'property': 'region', 'subject': '11th_Mississippi_Infantry_Monument'}, {'object': 'Gettysburg,_Pennsylvania', 'property': 'municipality', 'subject': '11th_Mississippi_Infantry_Monument'}, {'object': 'Contributing_property', 'property': 'category', 'subject': '11th_Mississippi_Infantry_Monument'}, {'object': 'Cumberland_County,_Pennsylvania', 'property': 'north', 'subject': 'Adams_County,_Pennsylvania'}]]",[],6,13,"Output text: The 11th Mississippi Infantry Monument is located in the municipality of Gettysburg, Adams County, Pennsylvania. It was established in 2000 and is categorised as a contributing property. Franklin County is to the west and Cumberland County is to the north.",2.9773309230804443
Artist,"[{'object': 'Modern_Hebrew', 'property': 'officialLanguage', 'subject': 'Israel'}]","[[{'object': 'Modern_Hebrew', 'property': 'officialLanguage', 'subject': 'Israel'}]]",[],1,14,Output text: Modern Hebrew is the official language of Israel.,0.9217510223388672
Airport,"[{'object': 'ENAIRE', 'property': 'operatingOrganisation', 'subject': 'Adolfo_Suárez_Madrid–Barajas_Airport'}, {'object': 'Alcobendas', 'property': 'location', 'subject': 'Adolfo_Suárez_Madrid–Barajas_Airport'}, {'object': '610.0', 'property': 'elevationAboveTheSeaLevel', 'subject': 'Adolfo_Suárez_Madrid–Barajas_Airport'}]","[[{'object': 'ENAIRE', 'property': 'operator', 'subject': 'Adolfo_Suárez_Madrid–Barajas_Airport'}, {'object': 'Alcobendas', 'property': 'location', 'subject': 'Adolfo_Suárez_Madrid–Barajas_Airport'}, {'object': '""609.6""^^xsd:double', 'property': 'elevation', 'subject': 'Adolfo_Suárez_Madrid–Barajas_Airport'}]]",[],3,15,Output text: Adolfo Suarez Madrid-Barajas Airport is located in Alcobendas and is operated by ENAIRE. It is 610 metres above sea level.,2.1443159580230713
Company,"[{'object': '2000-01-01', 'property': 'foundingDate', 'subject': 'GMA_New_Media'}, {'object': 'Mobile_Applications', 'property': 'product', 'subject': 'GMA_New_Media'}]","[[{'object': '2000-01-01', 'property': 'foundingYear', 'subject': 'GMA_New_Media'}, {'object': 'Mobile_Applications', 'property': 'product', 'subject': 'GMA_New_Media'}]]",[],2,16,"Output text: GMA New Media, founded on 01-01-2000, produces mobile applications.",1.4319779872894287
Company,"[{'object': 'São_Paulo', 'property': 'location', 'subject': 'Hypermarcas'}, {'object': '8514837.14  (square kilometres)', 'property': 'areaTotal', 'subject': 'Brazil'}, {'object': 'Brazil', 'property': 'location', 'subject': 'Hypermarcas'}, {'object': 'Pharmaceuticals', 'property': 'industry', 'subject': 'Hypermarcas'}]","[[{'object': 'São_Paulo', 'property': 'location', 'subject': 'Hypermarcas'}, {'object': '8514837.141576303', 'property': 'areaTotal', 'subject': 'Brazil'}, {'object': 'Brazil', 'property': 'location', 'subject': 'Hypermarcas'}, {'object': 'Pharmaceuticals', 'property': 'industry', 'subject': 'Hypermarcas'}]]",[],4,17,"Output text: Hypermarcas is a pharmaceutical company located in Sao Paulo, Brazil. Brazil has a total area of 8514837.14 square kilometres.",2.1467530727386475
MusicalWork,"[{'object': 'Rock_music', 'property': 'genre', 'subject': 'Bootleg_Series_Volume_1:_The_Quine_Tapes'}, {'object': 'Squeeze_(The_Velvet_Underground_album)', 'property': 'precededBy', 'subject': 'Bootleg_Series_Volume_1:_The_Quine_Tapes'}, {'object': ""Andy_Warhol's_Velvet_Underground_Featuring_Nico"", 'property': 'precededBy', 'subject': 'Squeeze_(The_Velvet_Underground_album)'}]","[[{'object': 'Rock_music', 'property': 'genre', 'subject': 'Bootleg_Series_Volume_1:_The_Quine_Tapes'}, {'object': 'Squeeze_(The_Velvet_Underground_album)', 'property': 'previousWork', 'subject': 'Bootleg_Series_Volume_1:_The_Quine_Tapes'}, {'object': ""Andy_Warhol's_Velvet_Underground_Featuring_Nico"", 'property': 'previousWork', 'subject': 'Squeeze_(The_Velvet_Underground_album)'}]]",[],3,18,Output text: The Bootleg Series Volume 1: The Quine Tapes is a rock music album and was preceded by Squeeze which was preceded by Andy Warhol's Velvet Underground Featuring Nico.,2.44893217086792
University,"[{'object': '""In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090.""', 'property': 'campus', 'subject': 'Acharya_Institute_of_Technology'}, {'object': '""Dr. G. P. Prabhukumar""', 'property': 'director', 'subject': 'Acharya_Institute_of_Technology'}, {'object': 'Visvesvaraya_Technological_University', 'property': 'affiliation', 'subject': 'Acharya_Institute_of_Technology'}, {'object': '""India""', 'property': 'country', 'subject': 'Acharya_Institute_of_Technology'}]","[[{'object': '""Urban, ,\\nIn Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090.""@en', 'property': 'campus', 'subject': 'Acharya_Institute_of_Technology'}, {'object': '""Dr. G. P. Prabhukumar""@en', 'property': 'director', 'subject': 'Acharya_Institute_of_Technology'}, {'object': 'Visvesvaraya_Technological_University', 'property': 'affiliation', 'subject': 'Acharya_Institute_of_Technology'}, {'object': '""India""@en', 'property': 'country', 'subject': 'Acharya_Institute_of_Technology'}], [{'object': '""Urban, ,\\nIn Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090.""@en', 'property': 'campus', 'subject': 'Acharya_Institute_of_Technology'}, {'object': '""Dr. G. P. Prabhukumar""@en', 'property': 'director', 'subject': 'Acharya_Institute_of_Technology'}, {'object': 'Visvesvaraya_Technological_University', 'property': 'affiliations', 'subject': 'Acharya_Institute_of_Technology'}, {'object': '""India""@en', 'property': 'country', 'subject': 'Acharya_Institute_of_Technology'}]]",[],4,19,"Output text: The Acharya Institute of Technology is located in Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090, India. Its director is Dr. G. P. Prabhukumar and it is affiliated with the Visvesvaraya Technological University.",4.096553087234497
Politician,"[{'object': 'United_States', 'property': 'deathPlace', 'subject': 'Abraham_A._Ribicoff'}, {'object': 'United_States', 'property': 'birthPlace', 'subject': 'Abraham_A._Ribicoff'}, {'object': 'African_Americans', 'property': 'ethnicGroup', 'subject': 'United_States'}]","[[{'object': 'United_States', 'property': 'deathPlace', 'subject': 'Abraham_A._Ribicoff'}, {'object': 'United_States', 'property': 'birthPlace', 'subject': 'Abraham_A._Ribicoff'}, {'object': 'African_Americans', 'property': 'ethnicGroup', 'subject': 'United_States'}], [{'object': 'United_States', 'property': 'deathPlace', 'subject': 'Abraham_A._Ribicoff'}, {'object': 'United_States', 'property': 'birthPlace', 'subject': 'Abraham_A._Ribicoff'}, {'object': 'African_Americans', 'property': 'ethnicGroup', 'subject': 'United_States'}], [{'object': 'United_States', 'property': 'deathPlace', 'subject': 'Abraham_A._Ribicoff'}, {'object': 'United_States', 'property': 'birthPlace', 'subject': 'Abraham_A._Ribicoff'}, {'object': 'African_Americans', 'property': 'ethnicGroup', 'subject': 'United_States'}], [{'object': 'United_States', 'property': 'deathPlace', 'subject': 'Abraham_A._Ribicoff'}, {'object': 'United_States', 'property': 'birthPlace', 'subject': 'Abraham_A._Ribicoff'}, {'object': 'African_Americans', 'property': 'ethnicGroup', 'subject': 'United_States'}], [{'object': 'United_States', 'property': 'deathPlace', 'subject': 'Abraham_A._Ribicoff'}, {'object': 'United_States', 'property': 'birthPlace', 'subject': 'Abraham_A._Ribicoff'}, {'object': 'African_Americans', 'property': 'ethnicGroup', 'subject': 'United_States'}], [{'object': 'United_States', 'property': 'deathPlace', 'subject': 'Abraham_A._Ribicoff'}, {'object': 'United_States', 'property': 'birthPlace', 'subject': 'Abraham_A._Ribicoff'}, {'object': 'African_Americans', 'property': 'ethnicGroup', 'subject': 'United_States'}], [{'object': 'United_States', 'property': 'deathPlace', 'subject': 'Abraham_A._Ribicoff'}, {'object': 'United_States', 'property': 'birthPlace', 'subject': 'Abraham_A._Ribicoff'}, {'object': 'African_Americans', 'property': 'ethnicGroup', 'subject': 'United_States'}]]",[],3,20,"Output text: Abraham A. Ribicoff was born in the United States, where African Americans are an ethnic group. He died in the U.S.",1.7375481128692627
MusicalWork,"[{'object': 'The_Velvet_Underground', 'property': 'artist', 'subject': 'Bootleg_Series_Volume_1:_The_Quine_Tapes'}, {'object': 'The_Velvet_Underground', 'property': 'producer', 'subject': 'Bootleg_Series_Volume_1:_The_Quine_Tapes'}, {'object': '230.05', 'property': 'runtime', 'subject': 'Bootleg_Series_Volume_1:_The_Quine_Tapes'}, {'object': 'United_States', 'property': 'recordedIn', 'subject': 'Bootleg_Series_Volume_1:_The_Quine_Tapes'}, {'object': 'St._Louis,_Missouri', 'property': 'recordedIn', 'subject': 'Bootleg_Series_Volume_1:_The_Quine_Tapes'}, {'object': 'Rock_music', 'property': 'genre', 'subject': 'Bootleg_Series_Volume_1:_The_Quine_Tapes'}, {'object': 'Polydor_Records', 'property': 'recordLabel', 'subject': 'Bootleg_Series_Volume_1:_The_Quine_Tapes'}]","[[{'object': 'The_Velvet_Underground', 'property': 'artist', 'subject': 'Bootleg_Series_Volume_1:_The_Quine_Tapes'}, {'object': 'The_Velvet_Underground', 'property': 'producer', 'subject': 'Bootleg_Series_Volume_1:_The_Quine_Tapes'}, {'object': '13803.0', 'property': 'runtime', 'subject': 'Bootleg_Series_Volume_1:_The_Quine_Tapes'}, {'object': 'United_States', 'property': 'recordedIn', 'subject': 'Bootleg_Series_Volume_1:_The_Quine_Tapes'}, {'object': 'St._Louis,_Missouri', 'property': 'recordedIn', 'subject': 'Bootleg_Series_Volume_1:_The_Quine_Tapes'}, {'object': 'Rock_music', 'property': 'genre', 'subject': 'Bootleg_Series_Volume_1:_The_Quine_Tapes'}, {'object': 'Polydor_Records', 'property': 'recordLabel', 'subject': 'Bootleg_Series_Volume_1:_The_Quine_Tapes'}]]",[],7,21,"Output text: The Velvet Underground produced the rock music Bootleg Series Volume 1: The Quine Tapes. It was recorded in St. Louis, Missouri, in the United States and has a runtime of 230.05. It was released by Polydor Records.",2.9664180278778076
WrittenWork,"[{'object': 'George_Allen_&_Unwin', 'property': 'publisher', 'subject': 'The_Fellowship_of_the_Ring'}, {'object': 'Fantasy_(genre)', 'property': 'literaryGenre', 'subject': 'The_Fellowship_of_the_Ring'}]","[[{'object': 'George_Allen_&_Unwin', 'property': 'publisher', 'subject': 'The_Fellowship_of_the_Ring'}, {'object': 'Fantasy_(genre)', 'property': 'literaryGenre', 'subject': 'The_Fellowship_of_the_Ring'}]]",[],2,22,"Output text: The Fellowship of the Ring, written in the genre of fantasy, was published by George Allen & Unwin.",1.4514057636260986
Astronaut,"[{'object': 'California', 'property': 'deathPlace', 'subject': 'Alan_Shepard'}, {'object': 'New_Hampshire', 'property': 'birthPlace', 'subject': 'Alan_Shepard'}, {'object': 'Distinguished_Service_Medal_(United_States_Navy)', 'property': 'award', 'subject': 'Alan_Shepard'}]","[[{'object': 'California', 'property': 'deathPlace', 'subject': 'Alan_Shepard'}, {'object': 'New_Hampshire', 'property': 'birthPlace', 'subject': 'Alan_Shepard'}, {'object': 'Distinguished_Service_Medal_(United_States_Navy)', 'property': 'awards', 'subject': 'Alan_Shepard'}]]",[],3,23,Output text: Alan Shepard was born in New Hampshire and died in California. He was awarded the Distinguished Service Medal by the United States Navy.,1.6781749725341797
MusicalWork,"[{'object': 'Imagine_(John_Lennon_song)', 'property': 'followedBy', 'subject': 'Mermaid_(Train_song)'}, {'object': 'Espionage_(production_team)', 'property': 'producer', 'subject': 'Mermaid_(Train_song)'}, {'object': 'California_37_(Train_album)', 'property': 'album', 'subject': 'Mermaid_(Train_song)'}]","[[{'object': 'Imagine_(John_Lennon_song)', 'property': 'subsequentWork', 'subject': 'Mermaid_(Train_song)'}, {'object': 'Espionage_(production_team)', 'property': 'producer', 'subject': 'Mermaid_(Train_song)'}, {'object': 'California_37_(Train_album)', 'property': 'album', 'subject': 'Mermaid_(Train_song)'}]]",[],3,24,Output text: Espionage is the production team behind the Mermaid (train) song which is followed by Imagine and is on the California 37 train album.,1.7929179668426514
WrittenWork,"[{'object': 'George_Allen_&_Unwin', 'property': 'publisher', 'subject': 'The_Fellowship_of_the_Ring'}, {'object': 'Fantasy_(genre)', 'property': 'literaryGenre', 'subject': 'The_Fellowship_of_the_Ring'}, {'object': 'The_Two_Towers', 'property': 'followedBy', 'subject': 'The_Fellowship_of_the_Ring'}, {'object': 'J._R._R._Tolkien', 'property': 'author', 'subject': 'The_Fellowship_of_the_Ring'}, {'object': '1954-07-29', 'property': 'releaseDate', 'subject': 'The_Fellowship_of_the_Ring'}]","[[{'object': 'George_Allen_&_Unwin', 'property': 'publisher', 'subject': 'The_Fellowship_of_the_Ring'}, {'object': 'Fantasy_(genre)', 'property': 'literaryGenre', 'subject': 'The_Fellowship_of_the_Ring'}, {'object': 'The_Two_Towers', 'property': 'subsequentWork', 'subject': 'The_Fellowship_of_the_Ring'}, {'object': 'J._R._R._Tolkien', 'property': 'author', 'subject': 'The_Fellowship_of_the_Ring'}, {'object': '1954-07-29', 'property': 'releaseDate', 'subject': 'The_Fellowship_of_the_Ring'}]]",[],5,25,Output text: The Fellowship of the Ring is a fantasy novel written by J.R.R. Tolkien and published by George Allen & Unwin. It was released on 29th July 1954 and was followed by The Two Towers.,2.6928892135620117
Company,"[{'object': 'Philippines', 'property': 'location', 'subject': 'GMA_New_Media'}, {'object': 'Entertainment', 'property': 'industry', 'subject': 'GMA_New_Media'}]","[[{'object': 'Philippines', 'property': 'location', 'subject': 'GMA_New_Media'}, {'object': 'Entertainment', 'property': 'industry', 'subject': 'GMA_New_Media'}]]",[],2,26,Output text: GMA New Media is located in the Philippines and is in the entertainment industry.,1.131556749343872
Film,"[{'object': 'Bernard_Knowles', 'property': 'cinematography', 'subject': 'English_Without_Tears'}, {'object': 'Terence_Rattigan', 'property': 'writer', 'subject': 'English_Without_Tears'}, {'object': '89.0', 'property': 'runtime', 'subject': 'English_Without_Tears'}]","[[{'object': 'Bernard_Knowles', 'property': 'cinematography', 'subject': 'English_Without_Tears'}, {'object': 'Terence_Rattigan', 'property': 'writer', 'subject': 'English_Without_Tears'}, {'object': '89.0', 'property': 'runtime', 'subject': 'English_Without_Tears'}]]",[],3,27,"Output text: English Without Tears, written by Terence Rattigan, has a runtime of 89 minutes and was cinematographed by Bernard Knowles.",1.775670051574707
Scientist,"[{'object': 'George_Monson', 'property': 'spouse', 'subject': 'Lady_Anne_Monson'}, {'object': '1776-02-18', 'property': 'deathDate', 'subject': 'Lady_Anne_Monson'}, {'object': 'Botany', 'property': 'professionalField', 'subject': 'Lady_Anne_Monson'}]","[[{'object': 'George_Monson', 'property': 'spouse', 'subject': 'Lady_Anne_Monson'}, {'object': '1776-01-01', 'property': 'deathDate', 'subject': 'Lady_Anne_Monson'}, {'object': 'Botany', 'property': 'field', 'subject': 'Lady_Anne_Monson'}]]",[],3,28,"Output text: Lady Anne Monson, who was married to George Monson, died on 18 February 1776. She was a Botany expert.",1.9475879669189453
Politician,"[{'object': '""Demak Jaya, Jalan Bako, Kuching, Sarawak""', 'property': 'residence', 'subject': 'Abdul_Taib_Mahmud'}, {'object': 'Parti_Pesaka_Bumiputera_Bersatu', 'property': 'party', 'subject': 'Abdul_Taib_Mahmud'}]","[[{'object': '""Demak Jaya, Jalan Bako, Kuching, Sarawak""@en', 'property': 'residence', 'subject': 'Abdul_Taib_Mahmud'}, {'object': 'Parti_Pesaka_Bumiputera_Bersatu', 'property': 'party', 'subject': 'Abdul_Taib_Mahmud'}]]",[],2,29,"Output text: Abdul Taib Mahmud, who lives in Demak Jaya, Jalan Bako, Kuching, Sarawak, is a member of the Parti Pesaka Bumiputera Bersatu.",2.453097105026245
Artist,"[{'object': 'Karlsruhe', 'property': 'birthPlace', 'subject': 'Liselotte_Grschebina'}, {'object': 'Israel', 'property': 'nationality', 'subject': 'Liselotte_Grschebina'}, {'object': 'School_of_Applied_Arts_in_Stuttgart', 'property': 'training', 'subject': 'Liselotte_Grschebina'}, {'object': 'Germany', 'property': 'country', 'subject': 'Karlsruhe'}, {'object': 'Modern_Hebrew', 'property': 'language', 'subject': 'Israel'}]","[[{'object': 'Karlsruhe', 'property': 'birthPlace', 'subject': 'Liselotte_Grschebina'}, {'object': 'Israel', 'property': 'nationality', 'subject': 'Liselotte_Grschebina'}, {'object': 'School_of_Applied_Arts_in_Stuttgart', 'property': 'training', 'subject': 'Liselotte_Grschebina'}, {'object': 'Germany', 'property': 'country', 'subject': 'Karlsruhe'}, {'object': 'Modern_Hebrew', 'property': 'language', 'subject': 'Israel'}]]",[],5,30,"Output text: Liselotte Grschebina was born in Karlsruhe, Germany and studied at the School of Applied Arts in Stuttgart. She is a national of Israel, where Modern Hebrew is spoken.",2.192044973373413
Company,"[{'object': 'Philippines', 'property': 'location', 'subject': 'Chinabank'}]","[[{'object': 'Philippines', 'property': 'location', 'subject': 'Chinabank'}]]",[],1,31,Output text: Chinabank is located in the Philippines.,0.8759438991546631
MusicalWork,"[{'object': 'Columbia_Records', 'property': 'recordLabel', 'subject': 'Mermaid_(Train_song)'}, {'object': '3.16', 'property': 'runtime', 'subject': 'Mermaid_(Train_song)'}, {'object': 'Sony_Music_Entertainment', 'property': 'recordLabel', 'subject': 'Mermaid_(Train_song)'}, {'object': 'Espen_Lind', 'property': 'writer', 'subject': 'Mermaid_(Train_song)'}, {'object': 'Reggae', 'property': 'genre', 'subject': 'Mermaid_(Train_song)'}, {'object': 'Amund_Bjørklund', 'property': 'writer', 'subject': 'Mermaid_(Train_song)'}]","[[{'object': 'Columbia_Records', 'property': 'recordLabel', 'subject': 'Mermaid_(Train_song)'}, {'object': '3.2666666666666666', 'property': 'runtime', 'subject': 'Mermaid_(Train_song)'}, {'object': 'Sony_Music_Entertainment', 'property': 'recordLabel', 'subject': 'Mermaid_(Train_song)'}, {'object': 'Espen_Lind', 'property': 'writer', 'subject': 'Mermaid_(Train_song)'}, {'object': 'Reggae', 'property': 'genre', 'subject': 'Mermaid_(Train_song)'}, {'object': 'Amund_Bjørklund', 'property': 'writer', 'subject': 'Mermaid_(Train_song)'}]]",[],6,32,Output text: The song Mermaid is a reggae song that is 3 minutes and 16 seconds long. It was written by Espen Lind and Amund Bjørklund and is signed to Columbia Records and Sony Music Entertainment.,2.4906070232391357
